time took to load file: 0.156446
time took to calculate sigma_l: 0.523027
time took to calculate sigma_r: 0.015005
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.012993
time took to calculate sigma_r: 0.010991
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.004996
time took to calculate sigma_r: 0.004997
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.005001
time took to calculate sigma_r: 0.006993
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.004995
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.001999
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.001999
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002999
time took to calculate sigma_r: 0.002999
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002999
time took to calculate sigma_r: 0.001997
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002999
time took to calculate sigma_r: 0.002997
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002999
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.003997
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003996
time took to calculate sigma_r: 0.003997
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.004999
time took to calculate sigma_r: 0.002996
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003997
time took to calculate sigma_r: 0.003997
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.003999
time took to calculate sigma_r: 0.001998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002000
time took to calculate sigma_r: 0.002999
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.001999
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003995
time took to calculate sigma_r: 0.004998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003998
time took to calculate sigma_r: 0.003998
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.004997
time took to calculate sigma_r: 0.003997
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003997
time took to calculate sigma_r: 0.004997
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003998
time took to calculate sigma_r: 0.003999
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.004996
time took to calculate sigma_r: 0.003997
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003998
time took to calculate sigma_r: 0.003999
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.003996
time took to calculate sigma_r: 0.003997
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002997
time took to calculate sigma_r: 0.002999
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003996
time took to calculate sigma_r: 0.003998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.004998
time took to calculate sigma_r: 0.004996
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003996
time took to calculate sigma_r: 0.003998
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.003998
time took to calculate sigma_r: 0.004998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003996
time took to calculate sigma_r: 0.005997
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.004996
time took to calculate sigma_r: 0.005998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002996
time took to calculate sigma_r: 0.004997
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003997
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002997
time took to calculate sigma_r: 0.002999
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.001001
time took to calculate sigma_l: 0.002997
time took to calculate sigma_r: 0.001999
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.001999
time took to calculate system_gs: 0.000998
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.001999
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.004998
time took to calculate sigma_r: 0.003997
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003997
time took to calculate sigma_r: 0.004997
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002999
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.001998
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.001997
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.001999
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.001999
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.001999
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.001999
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.001999
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.002999
time took to calculate sigma_r: 0.001999
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.003995
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.004997
time took to calculate sigma_r: 0.003998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002999
time took to calculate sigma_r: 0.001999
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.001999
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.001999
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003996
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.002999
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.001997
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.001998
time took to calculate sigma_r: 0.002999
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003997
time took to calculate sigma_r: 0.002999
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003997
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.004996
time took to calculate sigma_r: 0.003998
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.003998
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.003998
time took to calculate sigma_r: 0.004997
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.005996
time took to calculate sigma_r: 0.006995
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.004996
time took to calculate sigma_r: 0.003997
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003998
time took to calculate sigma_r: 0.003998
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.005998
time took to calculate sigma_r: 0.006995
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.014989
time took to calculate sigma_r: 0.005997
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.003997
time took to calculate sigma_r: 0.005995
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.005993
time took to calculate sigma_r: 0.003999
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003998
time took to calculate sigma_r: 0.002997
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.003997
time took to calculate sigma_r: 0.002999
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003997
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.003998
time took to calculate sigma_r: 0.004996
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.005997
time took to calculate sigma_r: 0.006997
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.004996
time took to calculate sigma_r: 0.004997
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.003997
time took to calculate sigma_r: 0.003998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003997
time took to calculate sigma_r: 0.003996
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.003998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003996
time took to calculate sigma_r: 0.002999
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.003997
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.003998
time took to calculate sigma_r: 0.002998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003997
time took to calculate sigma_r: 0.003998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003998
time took to calculate sigma_r: 0.003997
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.003997
time took to calculate sigma_r: 0.004997
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.005996
time took to calculate sigma_r: 0.003998
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.002998
time took to calculate sigma_r: 0.003999
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.003997
